Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.200000,-80.500000,90.000000,top
"C2","1uF_0805_50V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.400000,-78.375000,270.000000,top
"C3","4.7uF_0805_25V","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.800000,-83.200000,270.000000,top
"D1","MBR0540","D_SOD-123",150.200000,-77.300000,180.000000,top
"FL2","EMI_Filter_LL_1423_250uH","FILTER-SMD_4P-L8.8-W8.5-TL",131.100000,-81.200000,0.000000,top
"J1","USB_C_KoreanHroparts_6P","USB-C-KoreanHroparts",120.400000,-81.000000,270.000000,top
"J2","A2001WV-2P","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",122.900000,-67.900000,270.000000,top
"J3","Conn_01x02_Female","PinSocket_1x02_P2.54mm_Vertical",144.000000,-69.800000,180.000000,top
"J4","A2001WV-2P","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",151.700000,-69.800000,90.000000,top
"J5","MMCX","MMCX_JLC",134.200000,-68.400000,180.000000,top
"J6","Conn_01x02_Female","PinSocket_1x02_P2.54mm_Vertical",137.000000,-73.700000,270.000000,top
"J7","MMCX","MMCX_JLC",157.460000,-84.340000,0.000000,top
"L1","10uH","IND-SMD_L4.7-W4.7",142.400000,-78.000000,90.000000,top
"R1","1","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.000000,-83.400000,180.000000,top
"R2","10","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.475000,-85.400000,180.000000,top
"R3","1","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",151.900000,-74.100000,270.000000,top
"R4","10","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.200000,-66.100000,180.000000,top
"U1","TPS61165","SOT-23-6_Handsoldering",149.230000,-80.730000,180.000000,top
