Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",144.300000,-95.325000,270.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.525000,-89.600000,0.000000,top
"FL1","EMI_Filter_LL","L_CommonMode_Wuerth_WE-SL2",139.500000,-81.000000,270.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",139.500000,-72.700000,180.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",125.300000,-91.200000,270.000000,top
"J3","MMCX","MMCX_JLC",146.500000,-84.800000,0.000000,top
"J4","MMCX","MMCX_JLC",146.500000,-90.700000,0.000000,top
"U1","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",139.400000,-93.500000,0.000000,top
