Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.400000,-76.200000,0.000000,top
C2,1uF_0805_50V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.600000,-78.400000,180.000000,top
C3,4.7uF_0805_25V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.900000,-80.225000,90.000000,top
D1,MBR0540,D_SOD-123,154.900000,-81.100000,180.000000,top
FL2,EMI_Filter_LL_1423_250uH,FILTER-SMD_4P-L8.8-W8.5-TL,131.100000,-81.200000,0.000000,top
J1,USB_C_KoreanHroparts_6P,USB-C-KoreanHroparts,120.400000,-81.000000,180,top
J2,A2001WV-2P,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,122.900000,-67.900000,90,top
J3,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,144.100000,-67.500000,90,top
J4,A2001WV-2P,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,151.800000,-67.500000,90,top
J5,MMCX,MMCX_JLC,134.300000,-66.100000,180.000000,top
J6,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,137.000000,-73.700000,0,top
J7,MMCX,MMCX_JLC,141.800000,-75.600000,0.000000,top
L1,10uH,IND-SMD_L4.7-W4.7,151.300000,-86.500000,0.000000,top
R1,1,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.200000,-76.475000,90.000000,top
R2,10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.200000,-80.700000,270.000000,top
R3,1,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,155.600000,-75.175000,270.000000,top
R4,10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.525000,-70.700000,180.000000,top
U1,TPS61165,SOT-23-6_Handsoldering,150.200000,-79.800000,270,top
